"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 16:41:17 GMT 2024","Sun May 12 16:41:18 GMT 2024","527","","ApiTests","Delete","MyUnitTests","DeleteUser_Test","DeleteUser_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","6","","ApiTests","Post","MyUnitTests","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","70","","ApiTests","Delete","MyUnitTests","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","11","","ApiTests","Post","MyUnitTests","PostZipCodes_Test","PostZipCodes_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","13","","ApiTests","Post","MyUnitTests","PostDuplicateCreateUser_UserIsNotCreated_Test","PostDuplicateCreateUser_UserIsNotCreated_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","17","","ApiTests","Post","MyUnitTests","PostRequiredFieldsCreateUser_Test","PostRequiredFieldsCreateUser_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","21","","ApiTests","Get","MyUnitTests","GetUsers_Test","GetUsers_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","18","","ApiTests","Put","MyUnitTests","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","11","","ApiTests","Post","MyUnitTests","PostDuplicateZipCodes_Test","PostDuplicateZipCodes_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","15","","ApiTests","Put","MyUnitTests","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","40","","ApiTests","Get","MyUnitTests","GetUsersByOlderAge_Test","GetUsersByOlderAge_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","9","","ApiTests","Post","MyUnitTests","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","18","","ApiTests","Put","MyUnitTests","UpdateUser_Test","UpdateUser_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","16","","ApiTests","Get","MyUnitTests","GetZipCodes_Test","GetZipCodes_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","16","","ApiTests","Post","MyUnitTests","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","14","","ApiTests","Post","MyUnitTests","PostAlreadyUsedZipCodes_Test","PostAlreadyUsedZipCodes_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","26","","ApiTests","Get","MyUnitTests","GetUsersByYoungerAge_Test","GetUsersByYoungerAge_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","33","","ApiTests","Post","MyUnitTests","PostCreateUser_Test","PostCreateUser_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","81","","ApiTests","Get","MyUnitTests","GetUsersBySex_Test","GetUsersBySex_Test",""
"passed","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","48","","ApiTests","Delete","MyUnitTests","DeleteUserWithRequiredFields_UserIsDeleted_Test","DeleteUserWithRequiredFields_UserIsDeleted_Test",""
"broken","Sun May 12 16:41:18 GMT 2024","Sun May 12 16:41:18 GMT 2024","8","","ApiTests","Post","MyUnitTests","UploadUsers_Test","UploadUsers_Test",""
